Country;Charter type code;Organisation Name;Erasmus code;Street;Postcode;City
ES;EUCX;INSTITUTO DE ENSEÑANZA SECUNDARIA ALMERAYA;E  ALMERIA04;PASEO DE LA CARIDAD, 125;04008;ALMERIA
ES;EUCP;IES LOS ANGELES ALMERIA;E  ALMERIA05;MAESTRIA, 2;04008;ALMERÍA
ES;EUCP;IES ALHAMILLA;E  ALMERIA08;AV. SAN JUAN BOSCO, 1;04005;ALMERÍA
ES;EUCP;I.E.S. ALHADRA;E  ALMERIA10;C/ REAL DEL BARRIO ALTO Nº 5 BAJO 3;04005;ALMERÍA
ES;EUCP;ESCUELA DE ARTE DE ALMERÍA;E  ALMERIA13;PLAZA DE PABLO CAZARD, 1;04001;ALMERÍA
ES;EUCP;IES AZUD DE ALFEITAMÍ;E  ALICANT34;C/ MÉDICO JULIO GARCÍA Nº3;03160;ALMORADÍ( ALICANTE)
ES;EUCP;INSTITUTO DE EDUCACIÓN SECUNDARIA ALMUSSAFES;E  VALENCI50;AVDA. LA FOIA, Nº1;46440;ALMUSSAFES
TR;EUCX;DOKUZ EYLUL UNIVERSITESI;TR IZMIR01;CUMHURIYET BULVARI NO:144;35210;ALSANCAK, IZMIR
ES;EUCP;IES SAN MIGUEL DE ARALAR II;E  PAMPLON14;ZELAI S/N;31800;ALSASUA
NO;EUCX;HØGSKOLEN I FINNMARK;N  ALTA01;Follumsvei 31;n-9509;Alta
ES;EUCP;IES BELLAGUARDA;E  ALICANT38;GALOTXA Nº1 ;03590;ALTEA
LT;EUCX;ALYTAUS KOLEGIJA;LT ALYTUS01;17 Studentu Street;62252;ALYTUS
ES;EUCP;I.F.P.S. LUIS SUÑER SANCHIS;E  VALENCI24;AV.DELS ESPORTS S/N;46600;ALZIRA
TR;EUCX;AMASYA ÜNIVERSITESI;TR AMASYA01;Meslek Yüksekokulu KemalNehrozoglu Cad.;05189;AMASYA
DE;EUCX;FACHHOCHSCHULE AMBERG-WEIDEN, HOCHSCHULE FUER ANGEWANDTE WISSENSCHAFTEN;D  AMBERG01;KAISER-WILHELM-RING 23;92224;AMBERG
ES;EUCP;INSTITUTO ENSEÑANZA SECUNDARIA SAN CLEMENTE;E  LA-CORU09;LAS MIMOSAR URB. , 27;15895;AMES
FR;EUCX;ECOLE SUPERIEURE D'ART ET DE DESIGN;F  AMIENS15;40 rue des Teinturiers;80080;Amiens
FR;EUCX;UNIVERSITE DE PICARDIE JULES VERNE ;F  AMIENS01;chemin du Thil     ;80 025 AMIENS cedex 1;AMIENS
FR;EUCX;ECOLE SUPERIEURE D INGENIEURS EN ELECTROTECHNIQUE ET ELECTRONIQUE D AMIENS;F  AMIENS18;14 quai de la Somme BP 100;80082;AMIENS
FR;EUCX;GROUPE SUP DE CO AMIENS PICARDIE;F  AMIENS05;18 place Saint Michel;80038;Amiens Cedex 1
FR;EUCP;INSTITUT REGIONAL DE FORMATION AUX FONCTIONS EDUCATIVES - IRFFE;F  AMIENS24;12 RUE DES DEUX PONTS;80044;AMIENS CEDEX 1
ES;EUCX;URRITXE-ZORNOTZA BHI;E  BILBAO29;URRITXE AUZOA, ZG;48340;AMOREBIETA
ES;EUCX;IES MONTSIA;E  TARRAGO08;Madrid, 35-49;43870;Amposta
ES;EUCP;ESCOLA DE CAPACITACIÓ AGRÀRIA D'AMPOSTA;E  TARRAGO14;AV. JOSEP TARRADELLAS, 2-12;43870;AMPOSTA
ES;EUCP;"I.E.S. ""JOSE DEL CAMPO""";E  SANTAND16;BARRIO EL CAMINO Nº 42;39840;AMPUERO ( CANTABRIA )
NL;EUCX;AMSTERDAMSE HOGESCHOOL VOOR DE KUNSTEN;NL AMSTERD07;P.O. Box 15079;1001 MB;Amsterdam
NL;EUCX;UNIVERSITEIT VAN AMSTERDAM ;NL AMSTERD01;Binnengasthuisstraat 9;1012 ZA;Amsterdam
NL;EUCX;VRIJE UNIVERSITEIT AMSTERDAM ;NL AMSTERD02;de Boelelaan 1105;1081 HV;Amsterdam
NL;EUCX;HOGESCHOOL VAN AMSTERDAM;NL AMSTERD05;P.O. Box 1025;1000 BA;Amsterdam
NL;EUCX;Hogeschool IPABO Amsterdam;NL AMSTERD06;Jan Tooropstraat 136;1061 AD;Amsterdam
NL;EUCX;INSTITUUT COLLECTIE NEDERLAND (ICN)  ;NL AMSTERD71;Postbox 76709;1070 KA;Amsterdam
NL;EUC;STICHTING GERRIT RIETVELD ACADEMIE TE AMSTERDAM, HOGESCHOOL VOOR BEELDENDE KUNST EN VORMGEVING;NL AMSTERD57;FRED. ROESKESTRAAT 96;1076 ED;AMSTERDAM
ES;EUCX;IES ZARAOBE BHI;E  VITORIA20;ETXEBARRIAUR 8;01470;AMURRIO
IT;EUCX;UNIVERSITA' POLITECNICA DELLE MARCHE;I  ANCONA01;Piazza Roma n. 22;60121;Ancona
IT;EUC;"ISTITUTO SUPERIORE DI STUDI MUSICALI ""G.B. PERGOLESI"" - ANCONA";I  ANCONA02;via Zappata, 1;60121;Ancona
ES;EUCX;ESCUELA DE CINE Y VIDEO ;E  SAN-SEB15;AMA KANDIDA 21;20140;ANDOAIN
ES;EUCX;LA SALLE BERROZPE IKASTETXEA;E  SAN-SEB18;La Salle etorbidea 5;20140;ANDOAIN
ES;EUCP;IES PABLO SERRANO ANDORRA;E  TERUEL09;C/ HNAS ZAPATA Nº 8;44500;ANDORRA (TERUEL)
FR;EUCX;ECOLE SUPERIEURE D'AGRICULTURE D'ANGERS;F  ANGERS08;55 rue Rabelais - BP 30748;49007;ANGERS
FR;EUCX;UNIVERSITE CATHOLIQUE DE L'OUEST ;F  ANGERS04;3, Place Andre Leroy, BP 10808;49008;ANGERS
FR;EUCX;ECOLE SUPÉRIEURE DES BEAUX ARTS TOURS ANGERS LE MANS;F  ANGERS30;72 RUE  BRESSIGNY;49100;ANGERS
FR;EUCX;SITE ANGEVIN DE FORMATION DE RECHERCHE ET ACCOMPAGNEMENT EN TRAVAIL SOCIAL;F  ANGERS31;6 RUE GEORGES MOREL;49045 CÉDEX 01;ANGERS
FR;EUCX;UNIVERSITE D'ANGERS;F  ANGERS01;40 rue de Rennes BP 73532;49035;ANGERS CEDEX 01
FR;EUCX;Groupe ESSCA (ECOLE SUPERIEURE DES SCIENCES COMMERCIALES D'ANGERS) ;F  ANGERS10;1 rue Joseph Lakanal;49003;ANGERS CEDEX 01
